pokedex_number,name,abilities,generation,classfication,is_legendary,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,attack,base_egg_steps,base_happiness,base_total,capture_rate,defense,experience_growth,hp,sp_attack,sp_defense,speed,type1
12,Butterfree,"['Compoundeyes', 'Tinted Lens']",1,Butterfly Pokemon,0,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,45,3840,70,395,45,50,1000000,60,90,80,70,bug
13,Weedle,"['Shield Dust', 'Run Away']",1,Hairy Pokemon,0,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,35,3840,70,195,255,30,1000000,40,20,20,50,bug
14,Kakuna,['Shed Skin'],1,Cocoon Pokemon,0,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,25,3840,70,205,120,50,1000000,45,25,25,35,bug
15,Beedrill,"['Swarm', 'Sniper']",1,Poison Bee Pokemon,0,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,150,3840,70,495,45,40,1000000,65,15,80,145,bug
16,Pidgey,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",1,Tiny Bird Pokemon,0,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,45,3840,70,251,255,40,1059860,40,35,35,56,normal
17,Pidgeotto,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",1,Bird Pokemon,0,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,60,3840,70,349,120,55,1059860,63,50,50,71,normal
18,Pidgeot,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",1,Bird Pokemon,0,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,80,3840,70,579,45,80,1059860,83,135,80,121,normal
19,Rattata,"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",1,Mouse Pokemon,0,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,56,3840,70,253,255,35,1000000,30,25,35,72,normal
20,Raticate,"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",1,Mouse Pokemon,0,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,71,3840,70,413,127,70,1000000,75,40,80,77,normal
21,Spearow,"['Keen Eye', 'Sniper']",1,Tiny Bird Pokemon,0,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,60,3840,70,262,255,30,1000000,40,31,31,70,normal
22,Fearow,"['Keen Eye', 'Sniper']",1,Beak Pokemon,0,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,90,3840,70,442,90,65,1000000,65,61,61,100,normal
23,Ekans,"['Intimidate', 'Shed Skin', 'Unnerve']",1,Snake Pokemon,0,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,60,5120,70,288,255,44,1000000,35,40,54,55,poison
24,Arbok,"['Intimidate', 'Shed Skin', 'Unnerve']",1,Cobra Pokemon,0,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,95,5120,70,448,90,69,1000000,60,65,79,80,poison
25,Pikachu,"['Static', 'Lightningrod']",1,Mouse Pokemon,0,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,55,2560,70,320,190,40,1000000,35,50,50,90,electric
26,Raichu,"['Static', 'Lightningrod', 'Surge Surfer']",1,Mouse Pokemon,0,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,85,2560,70,485,75,50,1000000,60,95,85,110,electric
27,Sandshrew,"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",1,Mouse Pokemon,0,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,75,5120,70,300,255,90,1000000,50,10,35,40,ground
28,Sandslash,"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",1,Mouse Pokemon,0,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,100,5120,70,450,90,120,1000000,75,25,65,65,ground
29,Nidoran¡ð,"['Poison Point', 'Rivalry', 'Hustle']",1,Poison Pin Pokemon,0,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,47,5120,70,275,235,52,1059860,55,40,40,41,poison
30,Nidorina,"['Poison Point', 'Rivalry', 'Hustle']",1,Poison Pin Pokemon,0,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,62,5120,70,365,120,67,1059860,70,55,55,56,poison
31,Nidoqueen,"['Poison Point', 'Rivalry', 'Sheer Force']",1,Drill Pokemon,0,0.5,1,1,0,0.5,0.5,1,1,1,1,2,2,1,0.25,2,0.5,1,2,92,5120,70,505,45,87,1059860,90,75,85,76,poison
32,Nidoran¡ñ,"['Poison Point', 'Rivalry', 'Hustle']",1,Poison Pin Pokemon,0,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,57,5120,70,273,235,40,1059860,46,40,40,50,poison
33,Nidorino,"['Poison Point', 'Rivalry', 'Hustle']",1,Poison Pin Pokemon,0,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,72,5120,70,365,120,57,1059860,61,55,55,65,poison
34,Nidoking,"['Poison Point', 'Rivalry', 'Sheer Force']",1,Drill Pokemon,0,0.5,1,1,0,0.5,0.5,1,1,1,1,2,2,1,0.25,2,0.5,1,2,102,5120,70,505,45,77,1059860,81,85,75,85,poison
35,Clefairy,"['Cute Charm', 'Magic Guard', 'Friend Guard']",1,Fairy Pokemon,0,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,45,2560,140,323,150,48,800000,70,60,65,35,fairy
36,Clefable,"['Cute Charm', 'Magic Guard', 'Unaware']",1,Fairy Pokemon,0,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,70,2560,140,483,25,73,800000,95,95,90,60,fairy
37,Vulpix,"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",1,Fox Pokemon,0,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,41,5120,70,299,190,40,1000000,38,50,65,65,fire
38,Ninetales,"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",1,Fox Pokemon,0,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,67,5120,70,505,75,75,1000000,73,81,100,109,fire
39,Jigglypuff,"['Cute Charm', 'Competitive', 'Friend Guard']",1,Balloon Pokemon,0,0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,45,2560,70,270,170,20,800000,115,45,25,20,normal
40,Wigglytuff,"['Cute Charm', 'Competitive', 'Frisk']",1,Balloon Pokemon,0,0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,70,2560,70,435,50,45,800000,140,85,50,45,normal
41,Zubat,"['Inner Focus', 'Infiltrator']",1,Bat Pokemon,0,0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1,45,3840,70,245,255,35,1000000,40,30,40,55,poison
42,Golbat,"['Inner Focus', 'Infiltrator']",1,Bat Pokemon,0,0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1,80,3840,70,455,90,70,1000000,75,65,75,90,poison
43,Oddish,"['Chlorophyll', 'Run Away']",1,Weed Pokemon,0,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,50,5120,70,320,255,55,1059860,45,75,65,30,grass
44,Gloom,"['Chlorophyll', 'Stench']",1,Weed Pokemon,0,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,65,5120,70,395,120,70,1059860,60,85,75,40,grass
45,Vileplume,"['Chlorophyll', 'Effect Spore']",1,Flower Pokemon,0,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,80,5120,70,490,45,85,1059860,75,110,90,50,grass
46,Paras,"['Effect Spore', 'Dry Skin', 'Damp']",1,Mushroom Pokemon,0,2,1,1,0.5,1,0.5,4,4,1,0.25,0.25,2,1,2,1,2,1,0.5,70,5120,70,285,190,55,1000000,35,45,55,25,bug
47,Parasect,"['Effect Spore', 'Dry Skin', 'Damp']",1,Mushroom Pokemon,0,2,1,1,0.5,1,0.5,4,4,1,0.25,0.25,2,1,2,1,2,1,0.5,95,5120,70,405,75,80,1000000,60,60,80,30,bug
48,Venonat,"['Compoundeyes', 'Tinted Lens', 'Run Away']",1,Insect Pokemon,0,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,55,5120,70,305,190,50,1000000,60,40,55,45,bug
49,Venomoth,"['Shield Dust', 'Tinted Lens', 'Wonder Skin ']",1,Poison Moth Pokemon,0,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,65,5120,70,450,75,60,1000000,70,90,75,90,bug
50,Diglett,"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",1,Mole Pokemon,0,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,55,5120,70,265,255,30,1000000,10,35,45,90,ground
51,Dugtrio,"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",1,Mole Pokemon,0,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,100,5120,70,425,50,60,1000000,35,50,70,110,ground
52,Meowth,"['Pickup', 'Technician', 'Unnerve', 'Pickup', 'Technician', 'Rattled']",1,Scratch Cat Pokemon,0,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,35,5120,70,290,255,35,1000000,40,50,40,90,normal
53,Persian,"['Limber', 'Technician', 'Unnerve', 'Fur Coat', 'Technician', 'Rattled']",1,Classy Cat Pokemon,0,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,60,5120,70,440,90,60,1000000,65,75,65,115,normal
54,Psyduck,"['Damp', 'Cloud Nine', 'Swift Swim']",1,Duck Pokemon,0,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,52,5120,70,320,190,48,1000000,50,65,50,55,water
55,Golduck,"['Damp', 'Cloud Nine', 'Swift Swim']",1,Duck Pokemon,0,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,82,5120,70,500,75,78,1000000,80,95,80,85,water
56,Mankey,"['Vital Spirit', 'Anger Point', 'Defiant']",1,Pig Monkey Pokemon,0,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,80,5120,70,305,190,35,1000000,40,35,45,70,fighting
57,Primeape,"['Vital Spirit', 'Anger Point', 'Defiant']",1,Pig Monkey Pokemon,0,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,105,5120,70,455,75,60,1000000,65,60,70,95,fighting
58,Growlithe,"['Intimidate', 'Flash Fire', 'Justified']",1,Puppy Pokemon,0,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,70,5120,70,350,190,45,1250000,55,70,50,60,fire
59,Arcanine,"['Intimidate', 'Flash Fire', 'Justified']",1,Legendary Pokemon,0,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,110,5120,70,555,75,80,1250000,90,100,80,95,fire
60,Poliwag,"['Water Absorb', 'Damp', 'Swift Swim']",1,Tadpole Pokemon,0,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,50,5120,70,300,255,40,1059860,40,40,40,90,water
61,Poliwhirl,"['Water Absorb', 'Damp', 'Swift Swim']",1,Tadpole Pokemon,0,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,65,5120,70,385,120,65,1059860,65,50,50,90,water
62,Poliwrath,"['Water Absorb', 'Damp', 'Swift Swim']",1,Tadpole Pokemon,0,0.5,0.5,1,2,2,1,0.5,2,1,2,1,0.5,1,1,2,0.5,0.5,0.5,95,5120,70,510,45,95,1059860,90,70,90,70,water
63,Abra,"['Synchronize', 'Inner Focus', 'Magic Guard']",1,Psi Pokemon,0,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,20,5120,70,310,200,15,1059860,25,105,55,90,psychic
64,Kadabra,"['Synchronize', 'Inner Focus', 'Magic Guard']",1,Psi Pokemon,0,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,35,5120,70,400,100,30,1059860,40,120,70,105,psychic
65,Alakazam,"['Synchronize', 'Inner Focus', 'Magic Guard']",1,Psi Pokemon,0,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,50,5120,70,600,50,65,1059860,55,175,105,150,psychic
66,Machop,"['Guts', 'No Guard', 'Steadfast']",1,Superpower Pokemon,0,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,80,5120,70,305,180,50,1059860,70,35,35,35,fighting
67,Machoke,"['Guts', 'No Guard', 'Steadfast']",1,Superpower Pokemon,0,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,100,5120,70,405,90,70,1059860,80,50,60,45,fighting
68,Machamp,"['Guts', 'No Guard', 'Steadfast']",1,Superpower Pokemon,0,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,130,5120,70,505,45,80,1059860,90,65,85,55,fighting
69,Bellsprout,"['Chlorophyll', 'Gluttony']",1,Flower Pokemon,0,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,75,5120,70,300,255,35,1059860,50,70,30,40,grass
70,Weepinbell,"['Chlorophyll', 'Gluttony']",1,Flycatcher Pokemon,0,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,90,5120,70,390,120,50,1059860,65,85,45,55,grass
71,Victreebel,"['Chlorophyll', 'Gluttony']",1,Flycatcher Pokemon,0,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,105,5120,70,490,45,65,1059860,80,100,70,70,grass
72,Tentacool,"['Clear Body', 'Liquid Ooze', 'Rain Dish']",1,Jellyfish Pokemon,0,0.5,1,1,2,0.5,0.5,0.5,1,1,1,2,0.5,1,0.5,2,1,0.5,0.5,40,5120,70,335,190,35,1250000,40,50,100,70,water
73,Tentacruel,"['Clear Body', 'Liquid Ooze', 'Rain Dish']",1,Jellyfish Pokemon,0,0.5,1,1,2,0.5,0.5,0.5,1,1,1,2,0.5,1,0.5,2,1,0.5,0.5,70,5120,70,515,60,65,1250000,80,80,120,100,water
74,Geodude,"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",1,Rock Pokemon,0,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,80,3840,70,300,255,100,1059860,40,30,30,20,rock
75,Graveler,"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",1,Rock Pokemon,0,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,95,3840,70,390,120,115,1059860,55,45,45,35,rock
76,Golem,"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",1,Megaton Pokemon,0,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,120,3840,70,495,45,130,1059860,80,55,65,45,rock
77,Ponyta,"['Run Away', 'Flash Fire', 'Flame Body']",1,Fire Horse Pokemon,0,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,85,5120,70,410,190,55,1000000,50,65,65,90,fire
78,Rapidash,"['Run Away', 'Flash Fire', 'Flame Body']",1,Fire Horse Pokemon,0,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,100,5120,70,500,60,70,1000000,65,80,80,105,fire
79,Slowpoke,"['Oblivious', 'Own Tempo', 'Regenerator']",1,Dopey Pokemon,0,2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,65,5120,70,315,190,65,1000000,90,40,40,15,water
80,Slowbro,"['Oblivious', 'Own Tempo', 'Regenerator']",1,Hermit Crab Pokemon,0,2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,75,5120,70,590,75,180,1000000,95,130,80,30,water
81,Magnemite,"['Magnet Pull', 'Sturdy', 'Analytic']",1,Magnet Pokemon,0,0.5,1,0.5,0.5,0.5,2,2,0.25,1,0.5,4,0.5,0.5,0,0.5,0.5,0.25,1,35,5120,70,325,190,70,1000000,25,95,55,45,electric
82,Magneton,"['Magnet Pull', 'Sturdy', 'Analytic']",1,Magnet Pokemon,0,0.5,1,0.5,0.5,0.5,2,2,0.25,1,0.5,4,0.5,0.5,0,0.5,0.5,0.25,1,60,5120,70,465,60,95,1000000,50,120,70,70,electric
83,Farfetch'd,"['Keen Eye', 'Inner Focus', 'Defiant']",1,Wild Duck Pokemon,0,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,90,5120,70,377,45,55,1000000,52,58,62,60,normal
84,Doduo,"['Run Away', 'Early Bird', 'Tangled Feet']",1,Twin Bird Pokemon,0,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,85,5120,70,310,190,45,1000000,35,35,35,75,normal
85,Dodrio,"['Run Away', 'Early Bird', 'Tangled Feet']",1,Triple Bird Pokemon,0,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,110,5120,70,470,45,70,1000000,60,60,60,110,normal
86,Seel,"['Thick Fat', 'Hydration', 'Ice Body']",1,Sea Lion Pokemon,0,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,45,5120,70,325,190,55,1000000,65,45,70,45,water
87,Dewgong,"['Thick Fat', 'Hydration', 'Ice Body']",1,Sea Lion Pokemon,0,1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5,70,5120,70,475,75,80,1000000,90,70,95,70,water
88,Grimer,"['Stench', 'Sticky Hold', 'Poison Touch', 'Poison Touch', 'Gluttony', 'Power of Alchemy']",1,Sludge Pokemon,0,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,80,5120,70,325,190,50,1000000,80,40,50,25,poison
89,Muk,"['Stench', 'Sticky Hold', 'Poison Touch', 'Poison Touch', 'Gluttony', 'Power of Alchemy']",1,Sludge Pokemon,0,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,105,5120,70,500,75,75,1000000,105,65,100,50,poison
90,Shellder,"['Shell Armor', 'Skill Link', 'Overcoat']",1,Bivalve Pokemon,0,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,65,5120,70,305,190,100,1250000,30,45,25,40,water
91,Cloyster,"['Shell Armor', 'Skill Link', 'Overcoat']",1,Bivalve Pokemon,0,1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5,95,5120,70,525,60,180,1250000,50,85,45,70,water
92,Gastly,['Levitate'],1,Gas Pokemon,0,0.25,2,1,1,0.5,0,1,1,2,0.5,2,1,0,0.25,2,1,1,1,35,5120,70,310,190,30,1059860,30,100,35,80,ghost
93,Haunter,['Levitate'],1,Gas Pokemon,0,0.25,2,1,1,0.5,0,1,1,2,0.5,2,1,0,0.25,2,1,1,1,50,5120,70,405,90,45,1059860,45,115,55,95,ghost
94,Gengar,['Cursed Body'],1,Shadow Pokemon,0,0.25,2,1,1,0.5,0,1,1,2,0.5,2,1,0,0.25,2,1,1,1,65,5120,70,600,45,80,1059860,60,170,95,130,ghost
95,Onix,"['Rock Head', 'Sturdy', 'Weak Armor']",1,Rock Snake Pokemon,0,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,45,6400,70,385,45,160,1000000,35,30,45,70,rock
96,Drowzee,"['Insomnia', 'Forewarn', 'Inner Focus']",1,Hypnosis Pokemon,0,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,48,5120,70,328,190,45,1000000,60,43,90,42,psychic
97,Hypno,"['Insomnia', 'Forewarn', 'Inner Focus']",1,Hypnosis Pokemon,0,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,73,5120,70,483,75,70,1000000,85,73,115,67,psychic
98,Krabby,"['Hyper Cutter', 'Shell Armor', 'Sheer Force']",1,River Crab Pokemon,0,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,105,5120,70,325,225,90,1000000,30,25,25,50,water
99,Kingler,"['Hyper Cutter', 'Shell Armor', 'Sheer Force']",1,Pincer Pokemon,0,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,130,5120,70,475,60,115,1000000,55,50,50,75,water
100,Voltorb,"['Soundproof', 'Static', 'Aftermath']",1,Ball Pokemon,0,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,30,5120,70,330,190,50,1000000,40,55,55,100,electric
101,Electrode,"['Soundproof', 'Static', 'Aftermath']",1,Ball Pokemon,0,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,50,5120,70,490,60,70,1000000,60,80,80,150,electric
102,Exeggcute,"['Chlorophyll', 'Harvest']",1,Egg Pokemon,0,4,2,1,0.5,1,0.5,2,2,2,0.5,0.5,2,1,2,0.5,1,1,0.5,40,5120,70,325,90,80,1250000,60,60,45,40,grass
103,Exeggutor,"['Chlorophyll', 'Harvest', 'Frisk', 'Harvest']",1,Coconut Pokemon,0,4,2,1,0.5,1,0.5,2,2,2,0.5,0.5,2,1,2,0.5,1,1,0.5,105,5120,70,530,45,85,1250000,95,125,75,45,grass
104,Cubone,"['Rock Head', 'Lightningrod', 'Battle Armor']",1,Lonely Pokemon,0,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,50,5120,70,320,190,95,1000000,50,40,50,35,ground
105,Marowak,"['Rock Head', 'Lightningrod', 'Battle Armor', 'Cursed Body', 'Lightningrod', 'Rock Head']",1,Bone Keeper Pokemon,0,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,80,5120,70,425,75,110,1000000,60,50,80,45,ground
106,Hitmonlee,"['Limber', 'Reckless', 'Unburden']",1,Kicking Pokemon,0,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,120,6400,70,455,45,53,1000000,50,35,110,87,fighting
107,Hitmonchan,"['Keen Eye', 'Iron Fist', 'Inner Focus']",1,Punching Pokemon,0,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,105,6400,70,455,45,79,1000000,50,35,110,76,fighting
108,Lickitung,"['Own Tempo', 'Oblivious', 'Cloud Nine']",1,Licking Pokemon,0,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,55,5120,70,385,45,75,1000000,90,60,75,30,normal
109,Koffing,['Levitate'],1,Poison Gas Pokemon,0,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,65,5120,70,340,190,95,1000000,40,60,45,35,poison
110,Weezing,['Levitate'],1,Poison Gas Pokemon,0,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,90,5120,70,490,60,120,1000000,65,85,70,60,poison
111,Rhyhorn,"['Lightningrod', 'Rock Head', 'Reckless']",1,Spikes Pokemon,0,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,85,5120,70,345,120,95,1250000,80,30,30,25,ground
112,Rhydon,"['Lightningrod', 'Rock Head', 'Reckless']",1,Drill Pokemon,0,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,130,5120,70,485,60,120,1250000,105,45,45,40,ground
113,Chansey,"['Natural Cure', 'Serene Grace', 'Healer']",1,Egg Pokemon,0,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,5,10240,140,450,30,5,800000,250,35,105,50,normal
